# 10.0 sps, start/stop: 50/0 mA (5 s), channels: 4,,,,,,
# V min: 5.2041, V max: 5.2329,,,,,,,
# I min: 0.31183, I max: 0.45283,,,,,,,
Time,Voltage,Current,Capacity,Energy,,,,
0,5.22274,0.3288,0.00000457,0.00001193,,,,1
0.1,5.22297,0.3279,0.00001369,0.00002382,,,,2
0.2,5.22301,0.32798,0.0000228,0.00003572,,,,3
0.3,5.22301,0.32803,0.00003191,0.00004761,,,,4
0.4,5.22285,0.33943,0.00004118,0.00005992,,,,5
0.5,5.22285,0.33869,0.0000506,0.00007221,,,,6
0.6,5.22293,0.33919,0.00006001,0.00008451,,,,7
0.7,5.22285,0.32723,0.00006927,0.00009638,,,,8
0.8,5.22297,0.32717,0.00007836,0.00010825,,,,9
0.9,5.22309,0.32719,0.00008744,0.00012011,,,,10
1,5.22324,0.3272,0.00009653,0.00013198,,,,11
1.1,5.22317,0.32714,0.00010562,0.00014385,,,,12
1.2,5.2232,0.33869,0.00011487,0.00015613,,,,13
1.3,5.22324,0.33919,0.00012428,0.00016844,,,,14
1.4,5.2234,0.33794,0.00013369,0.0001807,,,,15
1.5,5.22356,0.3271,0.00014293,0.00019256,,,,16
1.6,5.22356,0.32727,0.00015201,0.00020443,,,,17
1.7,5.22348,0.3279,0.00016111,0.00021633,,,,18
1.8,5.22309,0.33037,0.00017026,0.00022831,,,,19
1.9,5.22305,0.33048,0.00017943,0.0002403,,,,20
2,5.22313,0.34093,0.00018876,0.00025266,,,,21
2.1,5.22313,0.32004,0.00019794,0.00026427,,,,22
2.2,5.22309,0.33041,0.00020697,0.00027625,,,,23
2.3,5.22293,0.33046,0.00021615,0.00028824,,,,24
2.4,5.22281,0.33044,0.00022533,0.00030023,,,,25
2.5,5.2227,0.3305,0.00023451,0.00031221,,,,26
2.6,5.22281,0.39539,0.00024459,0.00032655,,,,27
2.7,5.2223,0.39116,0.00025552,0.00034074,,,,28
2.8,5.21162,0.39141,0.00026639,0.00035493,,,,29
2.9,5.22086,0.39091,0.00027725,0.0003691,,,,30
3,5.21992,0.39166,0.00028812,0.00038326,,,,31
3.1,5.21906,0.38892,0.00029896,0.00039736,,,,32
