# 10.0 sps, start/stop: 50/0 mA (5 s), channels: 4,,,,,
# V min: 5.19534, V max: 5.23541,,,,,,
# I min: 0.31158, I max: 0.51002,,,,,,
Time,Voltage,Current,Capacity,Energy,,,
0,5.21467,0.33794,0.00000469,0.00001227,,,1
0.1,5.21554,0.31382,0.00001375,0.00002364,,,2
0.2,5.2164,0.31954,0.00002254,0.00003522,,,3
0.3,5.21737,0.32824,0.00003154,0.00004711,,,4
0.4,5.21824,0.33372,0.00004073,0.00005921,,,5
0.5,5.2191,0.34093,0.0000501,0.00007157,,,6
0.6,5.2304,0.33745,0.00005953,0.0000838,,,7
0.7,5.2207,0.33073,0.00006881,0.00009579,,,8
0.8,5.22156,0.39738,0.00007892,0.0001102,,,9
0.9,5.21036,0.44363,0.0000906,0.00012625,,,10
1,5.22113,0.41205,0.00010248,0.00014119,,,11
1.1,5.22027,0.41802,0.00011401,0.00015634,,,12
1.2,5.21941,0.41429,0.00012557,0.00017136,,,13
1.3,5.21843,0.40608,0.00013697,0.00018607,,,14
1.4,5.21753,0.39215,0.00014805,0.00020028,,,15
1.5,5.21671,0.41429,0.00015925,0.00021528,,,16
1.6,5.21589,0.41826,0.00017082,0.00023043,,,17
1.7,5.21491,0.40906,0.00018231,0.00024524,,,18
1.8,5.21385,0.39688,0.0001935,0.00025961,,,19
1.9,5.21358,0.39141,0.00020445,0.00027378,,,20
2,5.21397,0.40653,0.00021553,0.0002885,,,21
2.1,5.21397,0.40654,0.00022682,0.00030322,,,22
2.2,5.21401,0.40655,0.00023812,0.00031794,,,23
2.3,5.21413,0.39539,0.00024926,0.00033226,,,24
2.4,5.21413,0.45581,0.00026108,0.00034873,,,25
2.5,5.21303,0.4864,0.00027416,0.00036633,,,26
2.6,5.21205,0.49759,0.00028783,0.00038434,,,27
2.7,5.21123,0.48789,0.00030152,0.000402,,,28
2.8,5.21072,0.48565,0.00031504,0.00041957,,,29
2.9,5.2099,0.41951,0.00032761,0.00043474,,,30
3,5.22414,0.41006,0.00033913,0.00044958,,,31
3.1,5.2099,0.39265,0.00035028,0.00046379,,,32
3.2,5.20986,0.39613,0.00036124,0.00047812,,,33
