# 10.0 sps, start/stop: 50/0 mA (5 s), channels: 4,,,,,,,
# V min: 5.18657, V max: 5.2232,,,,,,,,
# I min: 0.31283, I max: 0.68236,,,,,,,,
Time,Voltage,Current,Capacity,Energy,,,,,
0,5.22301,0.33118,0.0000046,0.00001201,,,,,
0.1,5.22313,0.33009,0.00001378,0.00002399,,,,,
0.2,5.2232,0.31506,0.00002274,0.00003541,,,,,
0.3,5.22313,0.31283,0.00003147,0.00004676,,,,,
0.4,5.19659,0.55852,0.00004357,0.00006701,1,,,,
0.5,5.22148,0.41379,0.00005707,0.00008198,2,,,,
0.6,5.22058,0.42025,0.00006866,0.00009714,3,,,,
0.7,5.18657,0.66495,0.00008373,0.00012109,4,,,,
0.8,5.18657,0.65724,0.00010209,0.00014475,5,,,,
0.9,5.18782,0.6647,0.00012045,0.00016871,6,,,,
1,5.19158,0.64033,0.00013858,0.00019176,7,,,,
1.1,5.18782,0.65823,0.00015661,0.00021547,8,,,,
1.2,5.18782,0.66569,0.000175,0.00023943,9,,,,
1.3,5.18657,0.64555,0.00019321,0.00026265,10,,,,
1.4,5.19558,0.64356,0.00021112,0.00028586,11,,,,
1.5,5.19319,0.66246,0.00022926,0.00030974,12,,,,
1.6,5.19065,0.64356,0.00024739,0.00033293,13,,,,
1.7,5.18799,0.66346,0.00026555,0.00035683,14,,,,
1.8,5.18709,0.68236,0.00028424,0.00038141,15,,,,
1.9,5.18678,0.65807,0.00030286,0.00040511,16,,,,
2,5.18674,0.65815,0.00032114,0.00042881,17,,,,
2.1,5.18666,0.65815,0.00033942,0.00045252,18,,,,
2.2,5.18674,0.65827,0.0003577,0.00047623,19,,,,
2.3,5.18678,0.65838,0.00037599,0.00049995,20,,,,
2.4,5.18678,0.65845,0.00039428,0.00052366,21,,,,
2.5,5.18678,0.65845,0.00041257,0.00054738,22,,,,
2.6,5.18678,0.67639,0.00043111,0.00057174,23,,,,
2.7,5.18678,0.64182,0.00044942,0.00059486,24,,,,
2.8,5.18681,0.58612,0.00046647,0.00061598,25,,,,
2.9,5.18756,0.59383,0.00048286,0.00063737,26,,,,
3,5.19909,0.59035,0.00049931,0.00065865,27,,,,
3.1,5.18924,0.57592,0.00051551,0.00067946,28,,,,
3.2,5.20535,0.49013,0.00053031,0.00069718,29,,,,
3.3,5.20786,0.48043,0.00054379,0.0007145,30,,,,
3.4,5.19382,0.49361,0.00055732,0.00073231,31,,,,
3.5,5.1957,0.49262,0.00057102,0.00075015,32,,Total,0.00077016,Wh
3.6,5.20911,0.48391,0.00058458,0.00076762,33,,In J,2.772576,J
3.7,5.19941,0.47397,0.00059788,0.00078474,34,,One cycle,0.02772576,J
3.8,5.20121,0.49784,0.00061138,0.00080273,35,,,,
3.9,5.20282,0.47546,0.0006249,0.00081991,36,,Wh to J,3600,s
4,5.20391,0.47745,0.00063813,0.00083717,37,,Cyber count,100,
