# 10.0 sps, start/stop: 50/0 mA (5 s), channels: 4,,,,,,,
# V min: 5.18782, V max: 5.22301,,,,,,,,
# I min: 0.31432, I max: 0.62765,,,,,,,,
Time,Voltage,Current,Capacity,Energy,,,,,
0,5.22301,0.37425,0.0000052,0.00001357,,,,,
0.1,5.22266,0.33019,0.00001498,0.00002555,,,,,
0.2,5.2225,0.31432,0.00002393,0.00003695,,,,,
0.3,5.22258,0.31855,0.00003272,0.0000485,,,,,
0.4,5.2041,0.45954,0.00004353,0.00006508,1,,,,
0.5,5.20285,0.53489,0.00005734,0.00008437,2,,,,
0.6,5.18908,0.62665,0.00007347,0.00010697,3,,,,
0.7,5.19158,0.60154,0.00009053,0.00012867,4,,,,
0.8,5.18782,0.60104,0.00010723,0.00015035,5,,,,
0.9,5.21002,0.60353,0.00012396,0.00017212,6,,,,
1,5.19033,0.60079,0.00014069,0.00019376,7,,,,
1.1,5.19033,0.62541,0.00015772,0.00021635,8,,,,
1.2,5.19033,0.60054,0.00017475,0.00023803,9,,,,
1.3,5.19836,0.61372,0.00019161,0.00026017,10,,,,
1.4,5.19519,0.61969,0.00020874,0.00028252,11,,,,
1.5,5.19276,0.60246,0.00022572,0.00030424,12,,,,
1.6,5.19178,0.61093,0.00024257,0.00032627,13,,,,
1.7,5.19175,0.6114,0.00025955,0.00034831,14,,,,
1.8,5.19171,0.61184,0.00027654,0.00037037,15,,,,
1.9,5.19178,0.6122,0.00029354,0.00039244,16,,,,
2,5.19175,0.62417,0.00031071,0.00041494,17,,,,
2.1,5.19155,0.60129,0.00032773,0.00043662,18,,,,
2.2,5.19147,0.62765,0.0003448,0.00045925,19,,,,
2.3,5.19139,0.61366,0.00036204,0.00048137,20,,,,
2.4,5.19131,0.61378,0.00037909,0.0005035,21,,,,
2.5,5.19128,0.61367,0.00039614,0.00052562,22,,,,
2.6,5.19163,0.5436,0.00041221,0.00054526,23,,,,
2.7,5.19253,0.52519,0.00042705,0.0005642,24,,,,
2.8,5.19335,0.59595,0.00044262,0.0005857,25,,,,
2.9,5.1939,0.52395,0.00045818,0.0006046,26,,,,
3,5.1948,0.54559,0.00047303,0.00062429,27,,,,
3.1,5.19562,0.52246,0.00048787,0.00064314,28,,,,
3.2,5.1966,0.54409,0.00050268,0.00066278,29,,,,
3.3,5.19754,0.53589,0.00051768,0.00068212,30,,,,
3.4,5.1984,0.53091,0.0005325,0.00070129,31,,,,
3.5,5.1993,0.54651,0.00054746,0.00072103,32,,Total,0.00074683,Wh
3.6,5.20004,0.52271,0.00056231,0.0007399,33,,In J,2.688588,J
3.7,5.20008,0.5404,0.00057708,0.00075942,34,,One cycle,0.02688588,J
3.8,5.20031,0.47148,0.00059113,0.00077645,35,,,,
3.9,5.20121,0.49287,0.00060452,0.00079429,36,,Wh to J,3600,s
4,5.20176,0.48764,0.00061814,0.00081191,37,,Cyber count,100,
