# 10.0 sps, start/stop: 50/0 mA (5 s), channels: 4,,,,,,,
# V min: 5.18532, V max: 5.2225,,,,,,,,
# I min: 0.31581, I max: 0.67117,,,,,,,,
Time,Voltage,Current,Capacity,Energy,,,,,
0,5.2225,0.33088,0.0000046,0.000012,,,,,
0.1,5.22246,0.37276,0.00001437,0.00002552,,,,,
0.2,5.22242,0.33088,0.00002414,0.00003752,,,,,
0.3,5.22242,0.34118,0.00003348,0.00004989,,,,,
0.4,5.22238,0.3309,0.00004281,0.00006189,,,,,
0.5,5.22234,0.3638,0.00005246,0.00007509,,,,,
0.6,5.22215,0.31681,0.00006191,0.00008658,,,,,
0.7,5.2223,0.33367,0.00007095,0.00009868,,,,,
0.8,5.2223,0.33363,0.00008021,0.00011078,,,,,
0.9,5.2223,0.32078,0.0000893,0.00012241,,,,,
1,5.22219,0.33358,0.00009839,0.00013451,,,,,
1.1,5.22211,0.3173,0.00010743,0.00014601,,,,,
1.2,5.22203,0.33351,0.00011647,0.00015811,,,,,
1.3,5.22207,0.31656,0.0001255,0.00016959,,,,,
1.4,5.22199,0.33355,0.00013453,0.00018168,,,,,
1.5,5.22195,0.32228,0.00014364,0.00019337,,,,,
1.6,5.22246,0.33031,0.0001527,0.00020535,,,,,
1.7,5.22234,0.34292,0.00016205,0.00021779,,,,,
1.8,5.22242,0.3303,0.0001714,0.00022977,,,,,
1.9,5.22238,0.33033,0.00018058,0.00024175,,,,,
2,5.22238,0.3178,0.00018958,0.00025327,,,,,
2.1,5.22227,0.34043,0.00019872,0.00026562,,,,,
2.2,5.22234,0.33039,0.00020804,0.0002776,,,,,
2.3,5.22238,0.33031,0.00021721,0.00028958,,,,,
2.4,5.22234,0.31581,0.00022619,0.000301,,,,,
2.5,5.20911,0.47073,0.00023711,0.00031798,1,,,,
2.6,5.19158,0.62218,0.00025229,0.00034041,2,,,,
2.7,5.19283,0.61621,0.00026949,0.00036262,3,,,,
2.8,5.18782,0.62044,0.00028667,0.00038497,4,,,,
2.9,5.18908,0.62342,0.00030394,0.00040746,5,,,,
3,5.18908,0.61745,0.00032118,0.00042972,6,,,,
3.1,5.19158,0.60999,0.00033822,0.0004517,7,,,,
3.2,5.18782,0.67117,0.00035602,0.00047593,8,,,,
3.3,5.19906,0.61049,0.00037382,0.00049796,9,,,,
3.4,5.19589,0.61521,0.00039084,0.00052014,10,,,,
3.5,5.19276,0.63386,0.00040819,0.00054299,11,,,,
3.6,5.19065,0.63138,0.00042576,0.00056575,12,,,,
3.7,5.1901,0.62458,0.00044321,0.00058826,13,,,,
3.8,5.19002,0.60726,0.00046032,0.00061015,14,,,,
3.9,5.19006,0.62461,0.00047743,0.00063266,15,,,,
4,5.19002,0.62455,0.00049478,0.00065517,16,,,,
4.1,5.1901,0.6075,0.00051189,0.00067706,17,,,,
4.2,5.19014,0.6085,0.00052878,0.000699,18,,,,
4.3,5.19034,0.62273,0.00054588,0.00072144,19,,,,
4.4,5.19045,0.63337,0.00056332,0.00074427,20,,,,
4.5,5.19049,0.62091,0.00058074,0.00076665,21,,,,
4.6,5.19053,0.60552,0.00059778,0.00078848,22,,,,
4.7,5.19081,0.55205,0.00061385,0.00080838,23,,,,
4.8,5.19163,0.5513,0.00062918,0.00082826,24,,,,
4.9,5.19249,0.55329,0.00064452,0.00084822,25,,,,
5,5.19331,0.53216,0.0006596,0.00086741,26,,,,
5.1,5.19417,0.54708,0.00067459,0.00088715,27,,,,
5.2,5.19491,0.55006,0.00068982,0.000907,28,,,,
5.3,5.19585,0.53141,0.00070484,0.00092617,29,,,,
5.4,5.19679,0.53116,0.0007196,0.00094535,30,,,,
5.5,5.19758,0.56006,0.00073476,0.00096556,31,,,,
5.6,5.19836,0.55274,0.00075021,0.00098552,32,,,,
5.7,5.1991,0.53017,0.00076525,0.00100466,33,,,,
5.8,5.19914,0.54551,0.00078019,0.00102436,34,,,,
5.9,5.19922,0.54544,0.00079535,0.00104405,35,,,,
6,5.19918,0.58015,0.00081098,0.001065,36,,,,
6.1,5.19875,0.53066,0.00082641,0.00108415,37,,,,
6.2,5.19883,0.54846,0.00084139,0.00110396,38,,,,
6.3,5.19879,0.53738,0.00085648,0.00112336,39,,,,
6.4,5.19875,0.53763,0.00087141,0.00114277,40,,,,
6.5,5.19875,0.54863,0.00088649,0.00116257,41,,,,
6.6,5.19879,0.53265,0.00090151,0.0011818,42,,,,
6.7,5.19887,0.53091,0.00091628,0.00120097,43,,,,
6.8,5.19894,0.54803,0.00093127,0.00122076,44,,,,
6.9,5.19898,0.54814,0.00094649,0.00124055,45,,,,
7,5.19902,0.53066,0.00096148,0.00125971,46,,,,
7.1,5.19934,0.54566,0.00097642,0.00127941,47,,,,
7.2,5.19949,0.54517,0.00099158,0.0012991,48,,,,
7.3,5.19953,0.54503,0.00100672,0.00131878,49,,,,
7.4,5.19949,0.54501,0.00102186,0.00133845,50,,,,
7.5,5.19949,0.55578,0.00103715,0.00135852,51,,,,
