# 10.0 sps, start/stop: 50/0 mA (5 s), channels: 4,,,,,,,
# V min: 5.17906, V max: 5.22395,,,,,,,,
# I min: 0.31332, I max: 0.70996,,,,,,,,
Time,Voltage,Current,Capacity,Energy,,,,,
0,5.22379,0.31432,0.00000437,0.0000114,,,,,
0.1,5.22379,0.31332,0.00001308,0.00002277,,,,,
0.2,5.22371,0.31556,0.00002182,0.00003422,,,,,
0.3,5.22379,0.31979,0.00003064,0.00004582,,,,,
0.4,5.22395,0.33053,0.00003967,0.00005781,,,,,
0.5,5.22395,0.33048,0.00004885,0.00006974,,,,,
0.6,5.21162,0.45358,0.00005974,0.00008613,1,,,,
0.7,5.2016,0.50704,0.00007309,0.00010442,2,,,,
0.8,5.19283,0.58836,0.0000883,0.00012564,3,,,,
0.9,5.19283,0.60104,0.00010482,0.00014731,4,,,,
1,5.19659,0.61546,0.00012172,0.0001695,5,,,,
1.1,5.19283,0.61546,0.00013881,0.0001917,6,,,,
1.2,5.19408,0.62019,0.00015597,0.00021411,7,,,,
1.3,5.20348,0.5998,0.00017292,0.00023573,8,,,,
1.4,5.20031,0.58687,0.0001894,0.00025691,9,,,,
1.5,5.19718,0.61099,0.00020604,0.00027896,10,,,,
1.6,5.19413,0.58759,0.00022268,0.00030015,11,,,,
1.7,5.19284,0.59848,0.00023916,0.00032173,12,,,,
1.8,5.19237,0.61671,0.00025603,0.00034397,13,,,,
1.9,5.19233,0.60323,0.00027298,0.00036572,14,,,,
2,5.19233,0.60369,0.00028974,0.00038749,15,,,,
2.1,5.19233,0.60387,0.00030651,0.00040926,16,,,,
2.2,5.19233,0.60396,0.00032329,0.00043104,17,,,,
2.3,5.19229,0.60392,0.00034006,0.00045282,18,,,,
2.4,5.19229,0.6035,0.00035683,0.00047458,19,,,,
2.5,5.1919,0.58662,0.00037336,0.00049573,20,,,,
2.6,5.19194,0.61671,0.00039008,0.0005179,21,,,,
2.7,5.17906,0.70996,0.0004085,0.00054349,22,,,,
2.8,5.191,0.61539,0.00042691,0.00056568,23,,,,
2.9,5.19104,0.61527,0.000444,0.00058786,24,,,,
3,5.191,0.60104,0.00046089,0.00060952,25,,,,
3.1,5.19104,0.61512,0.00047779,0.0006317,26,,,,
3.2,5.19104,0.58885,0.00049451,0.00065292,27,,,,
3.3,5.19104,0.58687,0.00051084,0.00067412,28,,,,
3.4,5.19186,0.52519,0.00052628,0.00069306,29,,,,
3.5,5.19308,0.52544,0.00054087,0.00071205,30,,,,
3.6,5.2041,0.51027,0.00055526,0.00073046,31,,,,
3.7,5.20661,0.55379,0.00057004,0.00075044,32,,,,
3.8,5.19671,0.51674,0.00058491,0.00076909,33,,,,
3.9,5.19754,0.514,0.00059922,0.00078764,34,,,,
4,5.1984,0.50828,0.00061342,0.00080599,35,,,,
4.1,5.19934,0.54492,0.00062805,0.00082567,36,,,,
4.2,5.20031,0.53717,0.00064308,0.00084507,37,,,,
4.3,5.20121,0.51351,0.00065767,0.00086362,38,,,,
4.4,5.20149,0.52706,0.00067212,0.00088266,39,,,,
4.5,5.20141,0.52782,0.00068677,0.00090172,40,,,,
4.6,5.20149,0.51127,0.00070121,0.00092019,41,,,,
