# 10.0 sps, start/stop: 50/0 mA (5 s), channels: 4,,,,,,,
# V min: 5.18657, V max: 5.22332,,,,,,,,
# I min: 0.31357, I max: 0.65823,,,,,,,,
Time,Voltage,Current,Capacity,Energy,,,,,
0,5.22301,0.31357,0.00000436,0.00001137,,,,,
0.1,5.22313,0.32908,0.00001328,0.00002331,,,,,
0.2,5.22332,0.3832,0.00002317,0.00003721,,,,,
0.3,5.22332,0.32738,0.00003304,0.00004909,,,,,
0.4,5.22328,0.32731,0.00004214,0.00006093,,,,,
0.5,5.22332,0.32742,0.00005123,0.00007276,,,,,
0.6,5.20661,0.51027,0.00006286,0.00009116,1,,,,
0.7,5.18782,0.61124,0.00007844,0.00011319,2,,,,
0.8,5.19408,0.61422,0.00009546,0.00013533,3,,,,
0.9,5.18908,0.63511,0.00011281,0.00015823,4,,,,
1,5.18657,0.63163,0.00013041,0.00018098,5,,,,
1.1,5.18908,0.62516,0.00014786,0.00020352,6,,,,
1.2,5.19033,0.63411,0.00016535,0.00022638,7,,,,
1.3,5.20188,0.61347,0.00018268,0.00024853,8,,,,
1.4,5.18657,0.62765,0.00019992,0.00027117,9,,,,
1.5,5.19542,0.6274,0.00021735,0.00029379,10,,,,
1.6,5.1921,0.60595,0.00023448,0.00031564,11,,,,
1.7,5.19049,0.64008,0.00025178,0.0003387,12,,,,
1.8,5.18995,0.65823,0.00026982,0.00036243,13,,,,
1.9,5.18955,0.62801,0.00028768,0.00038506,14,,,,
2,5.18948,0.61596,0.00030496,0.00040726,15,,,,
2.1,5.18944,0.65301,0.00032258,0.00043079,16,,,,
2.2,5.18948,0.61248,0.00034016,0.00045286,17,,,,
2.3,5.1894,0.6289,0.0003574,0.00047553,18,,,,
2.4,5.1894,0.61546,0.00037468,0.0004977,19,,,,
2.5,5.18928,0.62923,0.00039197,0.00052038,20,,,,
2.6,5.18932,0.61521,0.00040925,0.00054255,21,,,,
2.7,5.18928,0.6293,0.00042654,0.00056523,22,,,,
2.8,5.18936,0.61273,0.00044379,0.00058731,23,,,,
2.9,5.18971,0.62638,0.000461,0.00060989,24,,,,
3,5.18983,0.62571,0.00047839,0.00063244,25,,,,
3.1,5.18995,0.62573,0.00049577,0.00065499,26,,,,
3.2,5.18995,0.61422,0.00051299,0.00067713,27,,,,
3.3,5.18991,0.6361,0.00053036,0.00070005,28,,,,
3.4,5.18995,0.61422,0.00054772,0.00072219,29,,Total,0.00072632,Wh
3.5,5.19002,0.62553,0.00056494,0.00074474,30,,In J,2.614752,J
3.6,5.19006,0.55305,0.00058131,0.00076472,31,,One cycle,0.02614752,J
3.7,5.2041,0.49834,0.00059591,0.00078273,32,,,,
3.8,5.20535,0.47123,0.00060938,0.00079976,33,,Wh to J,3600,s
3.9,5.19304,0.49013,0.00062273,0.00081748,34,,Cyber count,100,
