# 10.0 sps, start/stop: 50/0 mA (5 s), channels: 4,,,,,,,
# V min: 5.19033, V max: 5.22207,,,,,,,,
# I min: 0.3183, I max: 0.63138,,,,,,,,
Time,Voltage,Current,Capacity,Energy,,,,,
0,5.22207,0.32994,0.00000458,0.00001197,,,,,
0.1,5.22207,0.3183,0.00001359,0.00002351,,,,,
0.2,5.22207,0.32995,0.00002259,0.00003547,,,,,
0.3,5.22207,0.32991,0.00003175,0.00004744,,,,,
0.4,5.22207,0.32992,0.00004092,0.00005937,,,,,
0.5,5.21036,0.44835,0.00005173,0.00007557,1,,,,
0.6,5.20035,0.53489,0.00006538,0.00009486,2,,,,
0.7,5.19534,0.58488,0.00008094,0.00011593,3,,,,
0.8,5.19534,0.59607,0.00009734,0.00013743,4,,,,
0.9,5.19158,0.59035,0.00011382,0.00015872,5,,,,
1,5.19283,0.58711,0.00013017,0.0001799,6,,,,
1.1,5.19534,0.60377,0.00014671,0.00020168,7,,,,
1.2,5.19033,0.60104,0.00016344,0.00022339,8,,,,
1.3,5.20161,0.57717,0.00017981,0.00024422,9,,,,
1.4,5.19871,0.608,0.00019627,0.00026616,10,,,,
1.5,5.19581,0.58687,0.00021286,0.00028733,11,,,,
1.6,5.1939,0.58583,0.00022915,0.00030846,12,,,,
1.7,5.19323,0.59147,0.0002455,0.00032979,13,,,,
1.8,5.19327,0.60328,0.0002621,0.00035155,14,,,,
1.9,5.19331,0.59166,0.00027869,0.00037288,15,,,,
2,5.19335,0.58065,0.00029497,0.00039382,16,,,,
2.1,5.19331,0.57766,0.00031106,0.00041466,17,,,,
2.2,5.19339,0.59205,0.00032731,0.00043601,18,,,,
2.3,5.19335,0.62068,0.00034415,0.00045839,19,,,,
2.4,5.19339,0.58065,0.00036084,0.00047934,20,,,,
2.5,5.19351,0.59239,0.00037713,0.0005007,21,,,,
2.6,5.19343,0.63138,0.00039413,0.00052347,22,,,,
2.7,5.19323,0.52868,0.00041024,0.00054258,23,,,,
2.8,5.19405,0.50729,0.00042463,0.00056092,24,,,,
2.9,5.19495,0.51052,0.00043876,0.00057935,25,,,,
3,5.19581,0.51301,0.00045298,0.00059786,26,,,,
3.1,5.19668,0.5242,0.00046738,0.00061678,27,,,,
3.2,5.19754,0.50455,0.00048167,0.00063499,28,,,,
3.3,5.19832,0.52395,0.00049596,0.00065391,29,,,,
3.4,5.19894,0.5993,0.00051156,0.00067555,30,,,,
3.5,5.19887,0.60402,0.00052827,0.00069735,31,,,,
3.6,5.19883,0.58189,0.00054474,0.00071836,32,,,,
3.7,5.19906,0.59781,0.00056113,0.00073994,33,,,,
3.8,5.19836,0.60179,0.00057779,0.00076166,34,,,,
3.9,5.19746,0.57866,0.00059418,0.00078255,35,,,,
4,5.19656,0.57891,0.00061026,0.00080343,36,,,,
4.1,5.19562,0.60402,0.00062669,0.00082522,37,,,,
4.2,5.19476,0.59905,0.0006434,0.00084683,38,,,,
4.3,5.19398,0.58594,0.00065986,0.00086796,39,,,,
4.4,5.19311,0.58239,0.00067608,0.00088896,40,,,,
4.5,5.19319,0.58338,0.00069227,0.00091,41,,,,
4.6,5.19323,0.61347,0.0007089,0.00093213,42,,,,
4.7,5.19323,0.59346,0.00072566,0.00095353,43,,,,
4.8,5.19323,0.5936,0.00074215,0.00097494,44,,,,
4.9,5.19311,0.58214,0.00075848,0.00099593,45,,,,
5,5.19327,0.59381,0.00077481,0.00101735,46,,,,
5.1,5.19327,0.60676,0.00079148,0.00103923,47,,,,
5.2,5.19319,0.5799,0.00080797,0.00106014,48,,,,
5.3,5.19315,0.62989,0.00082477,0.00108286,49,,,,
5.4,5.20535,0.51276,0.00084064,0.00110135,50,,,,
5.5,5.19343,0.52768,0.00085509,0.00112038,51,,,,
5.6,5.19417,0.51226,0.00086953,0.00113887,52,,,,
5.7,5.19503,0.50828,0.00088371,0.00115721,53,,,,
5.8,5.19597,0.50928,0.00089784,0.00117559,54,,,,
5.9,5.19695,0.56254,0.00091273,0.00119589,55,,,,
6,5.19777,0.5048,0.00092755,0.00121412,56,,,,
6.1,5.19875,0.51624,0.00094173,0.00123276,57,,,,
6.2,5.19965,0.52768,0.00095623,0.00125181,58,,,,
6.3,5.20059,0.53239,0.00097095,0.00127104,59,,,,
6.4,5.20161,0.50505,0.00098536,0.00128929,60,,,,
6.5,5.20231,0.53141,0.00099976,0.00130849,61,,,,
6.6,5.20231,0.50605,0.00101417,0.00132677,62,,,,
6.7,5.20231,0.51702,0.00102838,0.00134545,63,,Total,0.00135807,Wh
6.8,5.20227,0.48118,0.00104224,0.00136283,64,,In J,4.889052,J
6.9,5.20254,0.49162,0.00105575,0.0013806,65,,One cycle,0.04889052,J
7,5.2029,0.46825,0.00106908,0.00139752,66,,,,
7.1,5.20321,0.49585,0.00108247,0.00141543,67,,Wh to J,3600,s
7.2,5.20356,0.50368,0.00109636,0.00143364,68,,Cyber count,100,
