# 10.0 sps, start/stop: 50/0 mA (5 s), channels: 4,,,,,,,
# V min: 5.18782, V max: 5.22344,,,,,,,,
# I min: 0.31606, I max: 0.65326,,,,,,,,
Time,Voltage,Current,Capacity,Energy,,,,,
0,5.22332,0.33035,0.00000459,0.00001198,,,,,
0.1,5.22332,0.31631,0.00001357,0.00002346,,,,,
0.2,5.22328,0.31705,0.00002237,0.00003496,,,,,
0.3,5.22332,0.31606,0.00003116,0.00004642,,,,,
0.4,5.22344,0.32982,0.00004013,0.00005835,,,,,
0.5,5.21287,0.46875,0.00005122,0.00007525,1,,,,
0.6,5.19408,0.62342,0.00006639,0.00009774,2,,,,
0.7,5.19158,0.61571,0.0000836,0.00011995,3,,,,
0.8,5.19033,0.61223,0.00010066,0.00014203,4,,,,
0.9,5.19909,0.62417,0.00011783,0.00016454,5,,,,
1,5.19408,0.5993,0.00013482,0.00018614,6,,,,
1.1,5.19033,0.60676,0.00015157,0.00020802,7,,,,
1.2,5.18782,0.62193,0.00016864,0.00023049,8,,,,
1.3,5.20133,0.59806,0.00018558,0.00025208,9,,,,
1.4,5.19832,0.62019,0.0002025,0.00027445,10,,,,
1.5,5.19519,0.60004,0.00021945,0.00029609,11,,,,
1.6,5.19268,0.62616,0.00023648,0.00031867,12,,,,
1.7,5.19186,0.59731,0.00025347,0.0003402,13,,,,
1.8,5.19182,0.62044,0.00027038,0.00036257,14,,,,
1.9,5.19182,0.61034,0.00028748,0.00038458,15,,,,
2,5.19167,0.61039,0.00030443,0.00040658,16,,,,
2.1,5.19163,0.65326,0.00032198,0.00043013,17,,,,
2.2,5.19124,0.61368,0.00033958,0.00045226,18,,,,
2.3,5.19116,0.59756,0.0003564,0.0004738,19,,,,
2.4,5.19112,0.61388,0.00037323,0.00049593,20,,,,
2.5,5.19116,0.60278,0.00039013,0.00051766,21,,,,
2.6,5.2016,0.53514,0.00040593,0.00053695,22,,,,
2.7,5.19135,0.53763,0.00042083,0.00055638,23,,,,
2.8,5.20285,0.52544,0.0004356,0.00057533,24,,,,
2.9,5.20535,0.51972,0.00045011,0.00059407,25,,,,
3,5.19401,0.54111,0.00046485,0.00061359,26,,,,
3.1,5.19491,0.53614,0.00047981,0.00063298,27,,,,
3.2,5.19609,0.52395,0.00049453,0.00065189,28,,,,
3.3,5.19699,0.54882,0.00050943,0.0006717,29,,,,
3.4,5.19781,0.52022,0.00052428,0.00069048,30,,,,
3.5,5.19867,0.54894,0.00053913,0.0007103,31,,,,
3.6,5.19965,0.5247,0.00055404,0.00072925,32,,,,
3.7,5.20047,0.53443,0.00056875,0.00074855,33,,,,
3.8,5.20047,0.53541,0.00058361,0.00076789,34,,,,
3.9,5.20051,0.5247,0.00059833,0.00078684,35,,,,
4,5.20047,0.54683,0.00061321,0.00080659,36,,,,
4.1,5.20051,0.52097,0.00062804,0.0008254,37,,,,
4.2,5.20051,0.53548,0.00064272,0.00084474,38,,,,
4.3,5.20059,0.52047,0.00065738,0.00086354,39,,,,
4.4,5.20074,0.53486,0.00067204,0.00088285,40,,,,
4.5,5.20071,0.53499,0.0006869,0.00090218,41,,,,
4.6,5.20071,0.52495,0.00070162,0.00092113,42,,,,
4.7,5.20063,0.54757,0.00071652,0.00094091,43,,,,
4.8,5.19033,0.56026,0.0007319,0.00096114,44,,,,
4.9,5.20059,0.53513,0.00074712,0.00098047,45,,,,
5,5.20028,0.52047,0.00076178,0.00099926,46,,,,
5.1,5.20024,0.53736,0.00077647,0.00101867,47,,,,
5.2,5.2002,0.53736,0.0007914,0.00103808,48,,,,
5.3,5.20024,0.52196,0.00080611,0.00105693,49,,,,
5.4,5.20016,0.53736,0.00082082,0.00107633,50,,,,
5.5,5.20008,0.52495,0.00083558,0.00109529,51,,,,
5.6,5.20004,0.52569,0.00085017,0.00111427,52,,,,
5.7,5.2,0.52146,0.00086471,0.0011331,53,,,,
5.8,5.19996,0.53733,0.00087942,0.0011525,54,,,,
5.9,5.19992,0.53741,0.00089435,0.00117191,55,,,,
6,5.20024,0.51923,0.00090902,0.00119066,56,,,,
6.1,5.20031,0.53416,0.00092365,0.00120995,57,,,,
6.2,5.20035,0.53429,0.00093849,0.00122925,58,,,,
6.3,5.20028,0.51823,0.00095311,0.00124796,59,,,,
6.4,5.2002,0.53425,0.00096773,0.00126726,60,,,,
6.5,5.20031,0.52146,0.00098239,0.00128609,61,,,,
6.6,5.20035,0.55106,0.00099729,0.00130599,62,,,,
6.7,5.18908,0.5343,0.00101236,0.00132528,63,,,,
6.8,5.20035,0.53422,0.0010272,0.00134458,64,,,,
6.9,5.20035,0.54782,0.00104223,0.00136436,65,,,,
7,5.20039,0.52196,0.00105709,0.00138316,66,,,,
7.1,5.20039,0.55354,0.00107203,0.00140315,67,,,,
7.2,5.20043,0.52022,0.00108694,0.00142194,68,,,,
7.3,5.20047,0.53426,0.00110158,0.00144124,69,,,,
7.4,5.20043,0.53433,0.00111643,0.00146053,70,,,,
7.5,5.20051,0.52047,0.00113108,0.00147933,71,,,,
7.6,5.20051,0.57791,0.00114633,0.0015002,72,,,,
7.7,5.20028,0.53646,0.00116181,0.00151957,73,,,,
7.8,5.20016,0.53766,0.00117673,0.00153899,74,,,,
7.9,5.2002,0.5237,0.00119147,0.0015579,75,,,,
8,5.2002,0.53769,0.00120621,0.00157732,76,,,,
8.1,5.2002,0.53775,0.00122115,0.00159674,77,,,,
8.2,5.2002,0.51997,0.00123584,0.00161552,78,,,,
8.3,5.20024,0.53781,0.00125053,0.00163494,79,,,,
8.4,5.20024,0.53778,0.00126547,0.00165436,80,,,,
8.5,5.2002,0.53781,0.00128041,0.00167378,81,,,,
8.6,5.20024,0.53775,0.00129534,0.0016932,82,,,,
8.7,5.20043,0.52569,0.00131011,0.00171219,83,,,,
8.8,5.20059,0.54733,0.00132502,0.00173195,84,,,,
8.9,5.20063,0.51997,0.00133984,0.00175073,85,,,,
9,5.20067,0.53459,0.00135449,0.00177004,86,,,,
9.1,5.20063,0.52146,0.00136915,0.00178887,87,,,,
9.2,5.18908,0.62118,0.00138502,0.0018113,88,,,,
9.3,5.20004,0.60875,0.00140211,0.00183328,89,,,,
9.4,5.19914,0.60328,0.00141894,0.00185506,90,,,,
9.5,5.1982,0.62317,0.00143597,0.00187755,91,,,,
9.6,5.19734,0.59905,0.00145295,0.00189917,92,,,,
9.7,5.19652,0.62044,0.00146989,0.00192156,93,,,,
9.8,5.19566,0.6085,0.00148696,0.00194351,94,,,,
9.9,5.19472,0.6177,0.00150399,0.00196579,95,,,,
10,5.19382,0.59245,0.00152079,0.00198715,96,,,,
10.1,5.19288,0.62491,0.0015377,0.00200968,97,,,,
10.2,5.19198,0.60762,0.00155482,0.00203159,98,,,,
10.3,5.19135,0.62541,0.00157195,0.00205413,99,,,,
10.4,5.19131,0.63735,0.00158948,0.00207711,100,,,,
10.5,5.19108,0.61514,0.00160688,0.00209929,101,,,,
10.6,5.19104,0.61521,0.00162397,0.00212146,102,,,,
10.7,5.19104,0.61522,0.00164106,0.00214364,103,,,,
10.8,5.19092,0.60377,0.00165799,0.00216541,104,,,,
10.9,5.191,0.61526,0.00167492,0.00218758,105,,,,
11,5.19096,0.60054,0.0016918,0.00220923,106,,,,
11.1,5.19104,0.6264,0.00170885,0.00223181,107,,,,
11.2,5.19108,0.61524,0.00172609,0.00225399,108,,,,
11.3,5.1912,0.5329,0.00174204,0.00227321,109,,,,
11.4,5.19218,0.52693,0.00175676,0.00229221,110,,,,
11.5,5.19323,0.5421,0.0017716,0.00231177,111,,,,
11.6,5.19425,0.52047,0.00178636,0.00233054,112,,,,
11.7,5.20535,0.54011,0.00180109,0.00235003,113,,,,
11.8,5.19605,0.52793,0.00181593,0.00236909,114,,,,
11.9,5.19695,0.54882,0.00183088,0.0023889,115,,,,
12,5.19789,0.52122,0.00184574,0.00240771,116,,,,
12.1,5.19867,0.54036,0.00186049,0.00242722,117,,,,
12.2,5.19953,0.54405,0.00187555,0.00244687,118,,,,
12.3,5.20039,0.52047,0.00189033,0.00246567,119,,,,
12.4,5.20051,0.53485,0.00190499,0.00248498,120,,,,
12.5,5.20055,0.53492,0.00191985,0.0025043,121,,,,
12.6,5.20047,0.54608,0.00193486,0.00252402,122,,,,
12.7,5.20051,0.53535,0.00194988,0.00254336,123,,,,
12.8,5.20063,0.53531,0.00196475,0.00256269,124,,,,
12.9,5.20055,0.63287,0.00198098,0.0025855,125,,,,
13,5.19965,0.59855,0.00199808,0.00260706,126,,,,
13.1,5.19875,0.6187,0.00201499,0.00262939,127,,,,
13.2,5.19781,0.61372,0.0020321,0.00265154,128,,,,
13.3,5.19671,0.62864,0.00204936,0.00267422,129,,,,
13.4,5.19589,0.59955,0.00206642,0.00269585,130,,,,
13.5,5.19499,0.62093,0.00208337,0.00271825,131,,,,
13.6,5.19417,0.61248,0.0021005,0.00274034,132,,,,
13.7,5.19335,0.59872,0.00211732,0.00276193,133,,,,
13.8,5.19225,0.62068,0.00213426,0.00278431,134,,Total,0.00280531,Wh
13.9,5.19139,0.60079,0.00215122,0.00280596,135,,In J,10.099116,J
14,5.19128,0.60179,0.00216792,0.00282771,136,,One cycle,0.10099116,J
14.1,5.20535,0.49635,0.00218318,0.00284565,137,,,,
14.2,5.20786,0.48938,0.00219687,0.00286335,138,,Wh to J,3600,s
14.3,5.20535,0.47596,0.00221027,0.00288056,139,,Cyber count,100,
