# 10.0 sps, start/stop: 50/0 mA (5 s), channels: 4,,,,,,,
# V min: 5.18782, V max: 5.22367,,,,,,,,
# I min: 0.31606, I max: 0.64058,,,,,,,,
Time,Voltage,Current,Capacity,Energy,,,,,
0,5.22363,0.32998,0.00000458,0.00001197,,,,,
0.1,5.22367,0.31606,0.00001356,0.00002344,,,,,
0.2,5.22363,0.36604,0.00002303,0.00003671,,,,,
0.3,5.22363,0.34068,0.00003285,0.00004907,,,,,
0.4,5.22363,0.33028,0.00004216,0.00006105,,,,,
0.5,5.2236,0.33035,0.00005134,0.00007299,,,,,
0.6,5.21036,0.46899,0.00006244,0.00008993,1,,,,
0.7,5.20285,0.514,0.00007609,0.00010846,2,,,,
0.8,5.19033,0.59532,0.0000915,0.00012993,3,,,,
0.9,5.19033,0.6085,0.00010822,0.00015187,4,,,,
1,5.19659,0.62541,0.00012536,0.00017444,5,,,,
1.1,5.19283,0.6085,0.0001425,0.00019639,6,,,,
1.2,5.18908,0.62168,0.00015958,0.00021879,7,,,,
1.3,5.19033,0.61074,0.0001767,0.00024086,8,,,,
1.4,5.19158,0.59681,0.00019347,0.0002624,9,,,,
1.5,5.18782,0.59731,0.00021006,0.00028396,10,,,,
1.6,5.19593,0.64058,0.00022725,0.00030706,11,,,,
1.7,5.19284,0.60041,0.00024448,0.00032871,12,,,,
1.8,5.19182,0.59756,0.00026112,0.00035025,13,,,,
1.9,5.19151,0.59557,0.00027769,0.00037172,14,,,,
2,5.19147,0.61214,0.00029447,0.00039379,15,,,,
2.1,5.19143,0.59433,0.00031122,0.00041522,16,,,,
2.2,5.19143,0.59358,0.00032772,0.00043661,17,,,,
2.3,5.19139,0.61225,0.00034447,0.00045869,18,,,,
2.4,5.19139,0.61236,0.00036148,0.00048076,19,,,,
2.5,5.19143,0.61245,0.00037849,0.00050284,20,,,,
2.6,5.19147,0.59383,0.00039524,0.00052425,21,,,,
2.7,5.19175,0.59955,0.00041182,0.00054587,22,,,,
2.8,5.19178,0.53962,0.00042764,0.00056539,23,,,,
2.9,5.19253,0.5426,0.00044267,0.00058495,24,,,,
3,5.19343,0.52693,0.00045753,0.00060396,25,,,,
3.1,5.19433,0.54484,0.00047241,0.00062362,26,,,,
3.2,5.19527,0.55404,0.00048767,0.00064361,27,,,,
3.3,5.19601,0.54285,0.00050291,0.00066324,28,,,,
3.4,5.19687,0.52718,0.00051777,0.00068227,29,,,,
3.5,5.19781,0.54434,0.00053265,0.00070192,30,,,,
3.6,5.19859,0.53614,0.00054766,0.00072128,31,,,,
3.7,5.19938,0.52246,0.00056236,0.00074015,32,,,,
3.8,5.20028,0.52171,0.00057686,0.00075899,33,,,,
3.9,5.20067,0.52246,0.00059137,0.00077786,34,,,,
4,5.20059,0.51798,0.00060582,0.00079657,35,,,,
4.1,5.20063,0.53468,0.00062044,0.00081588,36,,,,
4.2,5.20047,0.53496,0.00063529,0.0008352,37,,,,
4.3,5.20055,0.58289,0.00065082,0.00085625,38,,,,
4.4,5.20039,0.54633,0.0006665,0.00087598,39,,,,
4.5,5.20012,0.53808,0.00068156,0.00089541,40,,,,
4.6,5.2002,0.53812,0.00069651,0.00091484,41,,,,
4.7,5.2002,0.52196,0.00071123,0.00093369,42,,,,
4.8,5.2002,0.53854,0.00072596,0.00095314,43,,,,
4.9,5.20016,0.52519,0.00074074,0.0009721,44,,,,
5,5.20012,0.51997,0.00075525,0.00099088,45,,,,
5.1,5.2,0.53872,0.00076996,0.00101033,46,,,,
5.2,5.20004,0.5389,0.00078492,0.00102979,47,,,,
5.3,5.2,0.53881,0.00079989,0.00104925,48,,,,
5.4,5.2,0.53862,0.00081486,0.0010687,49,,,,
5.5,5.20039,0.53566,0.00082978,0.00108805,50,,,,
5.6,5.20039,0.53565,0.00084466,0.00110739,51,,,,
5.7,5.20039,0.52544,0.00085939,0.00112637,52,,,,
5.8,5.20028,0.53554,0.00087413,0.00114571,53,,,,
5.9,5.20031,0.58463,0.00088969,0.00116682,54,,,,
6,5.20035,0.53552,0.00090525,0.00118616,55,,,,
6.1,5.20047,0.53554,0.00092012,0.0012055,56,,,,
6.2,5.20051,0.52196,0.00093481,0.00122431,57,,,,
6.3,5.20051,0.53531,0.00094949,0.00124364,58,,,,
6.4,5.20051,0.54782,0.00096454,0.00126343,59,,,,
6.5,5.20051,0.54559,0.00097972,0.00128313,60,,Total,0.00125164,Wh
6.6,5.20047,0.53541,0.00099474,0.00130247,61,,In J,4.505904,J
6.7,5.20039,0.54757,0.00100978,0.00132224,62,,One cycle,0.04505904,J
6.8,5.20043,0.53527,0.00102482,0.00134157,63,,,,
6.9,5.20047,0.48118,0.00103894,0.00135895,64,,Wh to J,3600,s
7,5.20059,0.48143,0.00105231,0.00137634,65,,Cyber count,100,
