# 10.0 sps, start/stop: 50/0 mA (5 s), channels: 4,,,,,,,
# V min: 5.17781, V max: 5.2329,,,,,,,,
# I min: 0.31357, I max: 0.7495,,,,,,,,
Time,Voltage,Current,Capacity,Energy,,,,,
0,5.22223,0.32822,0.00000456,0.0000119,,,,,
0.1,5.22223,0.32814,0.00001367,0.0000238,,,,,
0.2,5.22227,0.32756,0.00002278,0.00003568,,,,,
0.3,5.2329,0.32752,0.00003188,0.00004756,,,,,
0.4,5.22242,0.3276,0.00004098,0.00005944,,,,,
0.5,5.22242,0.31432,0.00004989,0.00007084,,,,,
0.6,5.22246,0.32755,0.00005881,0.00008272,,,,,
0.7,5.22242,0.32759,0.00006791,0.0000946,,,,,
0.8,5.22242,0.31357,0.00007681,0.00010597,,,,,
0.9,5.22242,0.31382,0.00008553,0.00011732,,,,,
1,5.21036,0.46153,0.0000963,0.00013396,1,,,,
1.1,5.18908,0.60377,0.00011109,0.00015572,2,,,,
1.2,5.19033,0.59507,0.00012774,0.00017714,3,,,,
1.3,5.18657,0.65127,0.00014505,0.0002006,4,,,,
1.4,5.17781,0.7495,0.00016451,0.0002276,5,,,,
1.5,5.19408,0.61745,0.00018349,0.00024986,6,,,,
1.6,5.19283,0.62441,0.00020074,0.00027237,7,,,,
1.7,5.19158,0.61646,0.00021798,0.00029463,8,,,,
1.8,5.19941,0.60949,0.000235,0.00031662,9,,,,
1.9,5.19644,0.60203,0.00025183,0.00033833,10,,,,
2,5.19335,0.5983,0.0002685,0.0003599,11,,,,
2.1,5.19116,0.60558,0.00028522,0.00038173,12,,,,
2.2,5.19057,0.59358,0.00030188,0.00040313,13,,,,
2.3,5.19061,0.61189,0.00031862,0.00042518,14,,,,
2.4,5.19088,0.60891,0.00033557,0.00044713,15,,,,
2.5,5.191,0.60814,0.00035248,0.00046906,16,,,,
2.6,5.19104,0.60828,0.00036937,0.00049098,17,,,,
2.7,5.19108,0.59681,0.00038611,0.0005125,18,,,,
2.8,5.19116,0.59433,0.00040265,0.00053393,19,,,,
2.9,5.1912,0.60832,0.00041936,0.00055586,20,,,,
3,5.19124,0.62068,0.00043643,0.00057823,21,,,,
3.1,5.1912,0.60841,0.0004535,0.00060021,22,,,,
3.2,5.19171,0.53589,0.00046939,0.00061954,23,,,,
