# 10.0 sps, start/stop: 50/0 mA (5 s), channels: 4,,,,,,,
# V min: 5.18782, V max: 5.22328,,,,,,,,
# I min: 0.3281, I max: 0.61994,,,,,,,,
Time,Voltage,Current,Capacity,Energy,,,,,
0,5.2232,0.3281,0.00000456,0.0000119,,,,,
0.1,5.22324,0.34068,0.00001385,0.00002426,,,,,
0.2,5.22328,0.37748,0.00002382,0.00003795,,,,,
0.3,5.22281,0.33117,0.00003366,0.00004996,,,,,
0.4,5.22281,0.33108,0.00004286,0.00006197,,,,,
0.5,5.2227,0.33109,0.00005206,0.00007398,,,,,
0.6,5.2227,0.33102,0.00006125,0.00008598,,,,,
0.7,5.2227,0.33103,0.00007045,0.00009799,,,,,
0.8,5.22262,0.331,0.00007964,0.00010995,,,,,
0.9,5.20661,0.51127,0.00009134,0.00012837,1,,,,
1,5.19283,0.61223,0.00010695,0.00015045,2,,,,
1.1,5.19283,0.60726,0.00012388,0.00017234,3,,,,
1.2,5.19659,0.60477,0.00014072,0.00019415,4,,,,
1.3,5.19033,0.59209,0.00015734,0.0002155,5,,,,
1.4,5.19158,0.60676,0.00017399,0.00023737,6,,,,
1.5,5.19408,0.58512,0.00019054,0.00025847,7,,,,
1.6,5.18782,0.61994,0.00020728,0.00028086,8,,,,
1.7,5.19996,0.60154,0.00022425,0.00030257,9,,,,
1.8,5.19699,0.58438,0.00024072,0.00032365,10,,,,
1.9,5.19401,0.60203,0.0002572,0.00034536,11,,,,
2,5.1928,0.59639,0.00027384,0.00036686,12,,,,
2.1,5.19237,0.61472,0.00029066,0.00038903,13,,,,
2.2,5.19241,0.5996,0.00030753,0.00041065,14,,,,
2.3,5.19241,0.59988,0.00032419,0.00043228,15,,,,
2.4,5.19241,0.61422,0.00034105,0.00045443,16,,,,
2.5,5.19253,0.5997,0.00035791,0.00047605,17,,,,
2.6,5.19245,0.59989,0.00037457,0.00049768,18,,,,
2.7,5.19241,0.59989,0.00039123,0.00051931,19,,,,
2.8,5.19245,0.59991,0.0004079,0.00054094,20,,,,
2.9,5.19241,0.60012,0.00042456,0.00056258,21,,,,
3,5.19268,0.56473,0.00044074,0.00058295,22,,,,
3.1,5.2041,0.53464,0.00045601,0.00060224,23,,,,
3.2,5.19433,0.51624,0.00047061,0.00062086,24,,,,
3.3,5.19523,0.50853,0.00048484,0.00063921,25,,,,
3.4,5.19613,0.52693,0.00049922,0.00065823,26,,,,
3.5,5.19691,0.52743,0.00051387,0.00067727,27,,,,
3.6,5.19785,0.52768,0.00052852,0.00069632,28,,,,
3.7,5.19883,0.50953,0.00054293,0.00071472,29,,,,
3.8,5.19969,0.52818,0.00055734,0.00073379,30,,,,
3.9,5.20051,0.53335,0.00057208,0.00075306,31,,,,
4,5.20118,0.52758,0.00058682,0.00077211,32,,,,
4.1,5.20149,0.52476,0.00060143,0.00079107,33,,,,
4.2,5.20141,0.50754,0.00061577,0.0008094,34,,,,
4.3,5.20149,0.52469,0.00063011,0.00082835,35,,,,
4.4,5.20149,0.53987,0.00064489,0.00084785,36,,,,
4.5,5.20153,0.51326,0.00065952,0.00086639,37,,,,
4.6,5.20153,0.52457,0.00067393,0.00088534,38,,,,
4.7,5.20153,0.51276,0.00068834,0.00090386,39,,,,
4.8,5.20149,0.54683,0.00070306,0.00092362,40,,,,
4.9,5.20157,0.5248,0.00071794,0.00094257,41,,,,
5,5.20157,0.50754,0.00073228,0.00096091,42,,,,
5.1,5.20161,0.51152,0.00074643,0.00097938,43,,,,
5.2,5.20176,0.52385,0.00076081,0.00099831,44,,,,
5.3,5.20172,0.52392,0.00077536,0.00101723,45,,,,
5.4,5.20168,0.55081,0.00079029,0.00103713,46,,,,
5.5,5.20164,0.52423,0.00080522,0.00105607,47,,,,
5.6,5.20161,0.50978,0.00081958,0.00107448,48,,,,
5.7,5.20164,0.52426,0.00083395,0.00109342,49,,,,
5.8,5.20133,0.56697,0.0008491,0.0011139,50,,,,
5.9,5.20125,0.5268,0.00086429,0.00113292,51,,,,
6,5.20125,0.50903,0.00087868,0.00115131,52,,,,
6.1,5.20125,0.51152,0.00089285,0.00116979,53,,,,
6.2,5.20125,0.52708,0.00090728,0.00118882,54,,,,
6.3,5.20114,0.54111,0.00092211,0.00120837,55,,,,
6.4,5.20102,0.52715,0.00093695,0.00122741,56,,,,
6.5,5.20106,0.51052,0.00095136,0.00124585,57,,,,
6.6,5.20106,0.52713,0.00096578,0.00126489,58,,,,
6.7,5.20102,0.52716,0.00098042,0.00128393,59,,,,
6.8,5.20118,0.52607,0.00099505,0.00130293,60,,,,
6.9,5.20133,0.52464,0.00100964,0.00132188,61,,,,
7,5.20137,0.52506,0.00102422,0.0013408,62,,,,
7.1,5.20137,0.53614,0.00103896,0.00136016,63,,,,
7.2,5.20114,0.52718,0.00105373,0.00137921,64,,,,
7.3,5.20114,0.52762,0.00106838,0.00139826,65,,,,
7.4,5.20125,0.51251,0.00108282,0.00141674,66,,,,
7.5,5.20133,0.51251,0.00109706,0.00143525,67,,,,
7.6,5.20137,0.52634,0.00111149,0.00145426,68,,,,
7.7,5.20137,0.52642,0.00112611,0.00147327,69,,,,
7.8,5.20137,0.50779,0.00114047,0.00149162,70,,,,
7.9,5.20141,0.52659,0.00115484,0.00151064,71,,,,
8,5.20133,0.52651,0.00116947,0.00152965,72,,Total,0.001491,Wh
8.1,5.20118,0.49486,0.00118365,0.00154753,73,,In J,5.3676,J
8.2,5.20176,0.49784,0.00119744,0.00156551,74,,One cycle,0.53676,J
8.3,5.20223,0.48715,0.00121112,0.00158312,75,,,,
8.4,5.20262,0.47621,0.0012245,0.00160032,76,,Wh to J,3600,s
8.5,5.20305,0.52718,0.00123844,0.00161937,77,,Cyber count,10,
