# 10.0 sps, start/stop: 50/0 mA (5 s), channels: 4,,,,,,,
# V min: 5.18782, V max: 5.22277,,,,,,,,
# I min: 0.31407, I max: 0.6371,,,,,,,,
Time,Voltage,Current,Capacity,Energy,,,,,
0,5.22019,0.31681,0.0000044,0.00001149,,,,,
0.1,5.22097,0.34072,0.00001353,0.00002384,,,,,
0.2,5.2218,0.31929,0.0000227,0.00003542,,,,,
0.3,5.22234,0.32795,0.00003169,0.00004732,,,,,
0.4,5.22242,0.33844,0.00004094,0.00005959,,,,,
0.5,5.22254,0.32733,0.00005019,0.00007146,,,,,
0.6,5.22266,0.31506,0.00005911,0.00008289,,,,,
0.7,5.22274,0.32756,0.00006804,0.00009477,,,,,
0.8,5.22277,0.32759,0.00007714,0.00010665,,,,,
0.9,5.22262,0.31407,0.00008605,0.00011801,,,,,
1,5.20535,0.46626,0.00009689,0.00013485,1,,,,
1.1,5.20786,0.51823,0.00011056,0.00015354,2,,,,
1.2,5.19033,0.59557,0.00012603,0.00017503,3,,,,
1.3,5.18782,0.57617,0.0001423,0.00019582,4,,,,
1.4,5.19408,0.57543,0.0001583,0.00021657,5,,,,
1.5,5.19534,0.5906,0.00017449,0.00023784,6,,,,
1.6,5.18908,0.6371,0.00019155,0.00026081,7,,,,
1.7,5.20579,0.59781,0.0002087,0.00028241,8,,,,
1.8,5.20286,0.59258,0.00022523,0.0003038,9,,,,
1.9,5.20012,0.60104,0.00024181,0.00032549,10,,,,
2,5.19711,0.59731,0.00025845,0.00034703,11,,,,
2.1,5.19429,0.59333,0.00027499,0.00036843,12,,,,
2.2,5.19327,0.58617,0.00029137,0.00038957,13,,,,
2.3,5.19292,0.58882,0.00030769,0.0004108,14,,,,
2.4,5.19304,0.58862,0.00032404,0.00043203,15,,,,
2.5,5.19308,0.60104,0.00034057,0.00045371,16,,,,
2.6,5.19308,0.58883,0.00035709,0.00047494,17,,,,
2.7,5.19323,0.58726,0.00037343,0.00049612,18,,,,
2.8,5.19343,0.58589,0.00038972,0.00051725,19,,,,
2.9,5.19347,0.58584,0.00040599,0.00053838,20,,,,
3,5.19347,0.58574,0.00042227,0.00055951,21,,,,
3.1,5.19351,0.58579,0.00043854,0.00058068,22,,,,
3.2,5.19351,0.52072,0.00045391,0.00059947,23,,,,
3.3,5.19441,0.51997,0.00046836,0.00061823,24,,,,
3.4,5.19527,0.51276,0.0004827,0.00063673,25,,,,
3.5,5.19617,0.50431,0.00049683,0.00065493,26,,,,
3.6,5.19711,0.49834,0.00051076,0.00067292,27,,,,
