# 10.0 sps, start/stop: 50/0 mA (5 s), channels: 4,,,,,,,
# V min: 5.18407, V max: 5.22184,,,,,,,,
# I min: 0.31606, I max: 0.69678,,,,,,,,
Time,Voltage,Current,Capacity,Energy,,,,,
0,5.22172,0.3173,0.00000441,0.00001151,,,,,
0.1,5.22184,0.33372,0.00001345,0.00002361,,,,,
0.2,5.22184,0.33369,0.00002272,0.00003571,,,,,
0.3,5.22184,0.33363,0.00003199,0.00004781,,,,,
0.4,5.22184,0.33361,0.00004125,0.0000599,,,,,
0.5,5.2218,0.31606,0.00005028,0.00007137,,,,,
0.6,5.22176,0.33356,0.0000593,0.00008346,,,,,
0.7,5.22184,0.33353,0.00006856,0.00009556,,,,,
0.8,5.2218,0.31705,0.0000776,0.00010705,,,,,
0.9,5.2218,0.33343,0.00008664,0.00011912,,,,,
1,5.21162,0.44612,0.00009746,0.00013519,1,,,,
1.1,5.18782,0.66296,0.00011287,0.00015905,2,,,,
1.2,5.18532,0.66022,0.00013124,0.00018284,3,,,,
1.3,5.18657,0.64406,0.00014936,0.00020605,4,,,,
1.4,5.18532,0.65973,0.00016747,0.00022979,5,,,,
1.5,5.19158,0.66271,0.00018583,0.00025367,6,,,,
1.6,5.18657,0.64207,0.00020396,0.00027684,7,,,,
1.7,5.18782,0.67092,0.00022219,0.00030106,8,,,,
1.8,5.19773,0.66221,0.00024071,0.00032493,9,,,,
1.9,5.19433,0.63735,0.00025876,0.00034791,10,,,,
2,5.19092,0.66569,0.00027685,0.00037188,11,,,,
2.1,5.18779,0.65998,0.00029527,0.00039566,12,,,,
2.2,5.18678,0.65698,0.00031356,0.00041932,13,,,,
2.3,5.18674,0.64704,0.00033167,0.00044263,14,,,,
2.4,5.18678,0.67092,0.00034997,0.00046679,15,,,,
2.5,5.18678,0.66992,0.0003686,0.00049092,16,,,,
2.6,5.18674,0.63784,0.00038676,0.00051389,17,,,,
2.7,5.18674,0.69678,0.0004053,0.00053899,18,,,,
2.8,5.18646,0.6603,0.00042415,0.00056277,19,,,,
2.9,5.1865,0.6601,0.00044248,0.00058655,20,,,,
3,5.18646,0.66009,0.00046082,0.00061039,21,,,,
3.1,5.18642,0.66038,0.00047916,0.00063422,22,,,,
3.2,5.19659,0.59582,0.00049661,0.00065568,23,,,,
3.3,5.19909,0.57219,0.00051283,0.0006763,24,,,,
3.4,5.18818,0.57393,0.00052875,0.00069698,25,,,,
3.5,5.18893,0.56747,0.0005446,0.00071744,26,,,,
3.6,5.18971,0.59209,0.00056071,0.00073878,27,,,,
3.7,5.19049,0.57543,0.00057692,0.00075953,28,,,,
3.8,5.19151,0.58189,0.000593,0.00078056,29,,,,
3.9,5.19233,0.5891,0.00060926,0.0008018,30,,,,
4,5.19311,0.56424,0.00062528,0.00082216,31,,,,
4.1,5.19394,0.56697,0.00064099,0.00084261,32,,,,
4.2,5.19476,0.58281,0.00065696,0.00086363,33,,,,
4.3,5.1948,0.58198,0.00067314,0.00088463,34,,,,
4.4,5.19472,0.58175,0.0006893,0.00090561,35,,,,
4.5,5.19472,0.59781,0.00070568,0.00092718,36,,,,
4.6,5.19476,0.58195,0.00072207,0.00094817,37,,,,
4.7,5.19468,0.58178,0.00073823,0.00096916,38,,,,
4.8,5.19464,0.58231,0.0007544,0.00099017,39,,,,
4.9,5.19472,0.58217,0.00077057,0.00101117,40,,,,
5,5.19476,0.56672,0.00078653,0.00103161,41,,,,
5.1,5.19464,0.5988,0.00080272,0.00105321,42,,,,
5.2,5.19464,0.58231,0.00081912,0.00107422,43,,,,
5.3,5.19464,0.58228,0.00083529,0.00109523,44,,,,
5.4,5.19464,0.62964,0.00085213,0.00111794,45,,,,
5.5,5.19452,0.58302,0.00086897,0.00113897,46,,,,
5.6,5.19425,0.56324,0.00088489,0.00115928,47,,,,
5.7,5.19425,0.58554,0.00090085,0.0011804,48,,,,
5.8,5.19425,0.58483,0.0009171,0.0012015,49,,,,
5.9,5.19421,0.58507,0.00093335,0.0012226,50,,,,
6,5.19421,0.58497,0.0009496,0.00124371,51,,,,
6.1,5.19429,0.58505,0.00096585,0.00126481,52,,,,
6.2,5.19437,0.56921,0.00098188,0.00128534,53,,,,
6.3,5.19437,0.58499,0.00099791,0.00130644,54,,,,
6.4,5.19444,0.57468,0.00101402,0.00132718,55,,,,
6.5,5.19444,0.58512,0.00103013,0.00134828,56,,,,
6.6,5.1948,0.56797,0.00104614,0.00136877,57,,,,
6.7,5.19476,0.59706,0.00106232,0.00139031,58,,,,
6.8,5.18407,0.62864,0.00107935,0.00141299,59,,,,
6.9,5.1948,0.59408,0.00109633,0.00143442,60,,,,
7,5.19476,0.58223,0.00111267,0.00145543,61,,,,
7.1,5.19472,0.56349,0.00112858,0.00147575,62,,,,
7.2,5.19468,0.56299,0.00114422,0.00149606,63,,,,
7.3,5.19468,0.58251,0.00116013,0.00151708,64,,,,
7.4,5.19468,0.48814,0.001175,0.00153473,65,,Total,0.00138189,Wh
7.5,5.19538,0.48367,0.0011885,0.00155218,66,,In J,4.974804,J
7.6,5.20911,0.49585,0.00120211,0.00157012,67,,One cycle,0.004974804,J
7.7,5.19754,0.4772,0.00121562,0.00158735,68,,,,
7.8,5.19851,0.50431,0.00122925,0.00160556,69,,Wh to J,3600,s
7.9,5.19957,0.50281,0.00124324,0.00162372,70,,Cyber count,1000,
