# 10.0 sps, start/stop: 50/0 mA (5 s), channels: 4,,,,,,,
# V min: 5.18281, V max: 5.22238,,,,,,,,
# I min: 0.31556, I max: 0.70175,,,,,,,,
Time,Voltage,Current,Capacity,Energy,,,,,
0,5.22199,0.33387,0.00000464,0.00001211,,,,,
0.1,5.22195,0.33389,0.00001391,0.00002422,,,,,
0.2,5.22191,0.31556,0.00002293,0.00003566,,,,,
0.3,5.22199,0.33385,0.00003195,0.00004777,,,,,
0.4,5.22195,0.31879,0.00004102,0.00005933,,,,,
0.5,5.22199,0.32004,0.00004989,0.00007093,,,,,
0.6,5.22191,0.33425,0.00005898,0.00008305,,,,,
0.7,5.22191,0.33422,0.00006826,0.00009517,,,,,
0.8,5.22215,0.31979,0.00007734,0.00010677,,,,,
0.9,5.22234,0.33113,0.00008638,0.00011878,,,,,
1,5.22238,0.33111,0.00009558,0.00013079,,,,,
1.1,5.22234,0.31656,0.00010458,0.00014227,,,,,
1.2,5.22238,0.33114,0.00011357,0.00015428,,,,,
1.3,5.22234,0.34242,0.00012293,0.0001667,,,,,
1.4,5.2223,0.33088,0.00013228,0.0001787,,,,,
1.5,5.22227,0.31681,0.00014128,0.00019018,,,,,
1.6,5.22227,0.33056,0.00015027,0.00020217,,,,,
1.7,5.22219,0.31979,0.0001593,0.00021377,,,,,
1.8,5.22223,0.3183,0.00016816,0.00022531,,,,,
1.9,5.22219,0.33056,0.00017717,0.0002373,,,,,
2,5.22215,0.33056,0.00018636,0.00024926,,,,,
2.1,5.20786,0.37798,0.0001962,0.00026292,1,,,,
2.2,5.20035,0.52171,0.00020869,0.00028171,2,,,,
2.3,5.18407,0.66371,0.00022516,0.00030563,3,,,,
2.4,5.18532,0.65376,0.00024345,0.00032914,4,,,,
2.5,5.18281,0.70175,0.00026228,0.00035443,5,,,,
2.6,5.18532,0.6555,0.00028113,0.00037806,6,,,,
2.7,5.18532,0.67838,0.00029966,0.00040255,7,,,,
2.8,5.18782,0.63859,0.00031795,0.0004256,8,,,,
2.9,5.18281,0.68136,0.00033628,0.00045017,9,,,,
3,5.19288,0.68285,0.00035523,0.00047478,10,,,,
3.1,5.18936,0.65625,0.00037383,0.00049841,11,,,,
3.2,5.18697,0.6749,0.00039232,0.00052272,12,,,,
3.3,5.18603,0.66397,0.00041091,0.00054663,13,,,,
3.4,5.18595,0.64182,0.00042905,0.00056975,14,,,,
3.5,5.18603,0.66434,0.00044719,0.00059367,15,,,,
3.6,5.18631,0.66162,0.0004656,0.0006175,16,,,,
3.7,5.18635,0.63784,0.00048365,0.00064047,17,,,,
3.8,5.18635,0.66162,0.0005017,0.0006643,18,,,,
3.9,5.18638,0.66174,0.00052008,0.00068814,19,,,,
4,5.18642,0.64978,0.0005383,0.00071154,20,,,,
4.1,5.18646,0.67863,0.00055675,0.00073598,21,,,,
4.2,5.18646,0.59084,0.00057438,0.00075727,22,,,,
4.3,5.18717,0.57344,0.00059055,0.00077793,23,,,,
4.4,5.19909,0.58985,0.00060671,0.00079918,24,,,,
4.5,5.18865,0.5998,0.00062323,0.00082079,25,,,,
4.6,5.18936,0.57841,0.00063959,0.00084164,26,,,,
4.7,5.19014,0.60601,0.00065604,0.00086349,27,,,,
4.8,5.19088,0.60402,0.00067285,0.00088526,28,,,,
4.9,5.19171,0.58239,0.00068933,0.00090626,29,,,,
5,5.19249,0.60294,0.00070579,0.00092801,30,,,,
5.1,5.19315,0.58438,0.00072228,0.00094909,31,,,,
5.2,5.19394,0.58835,0.00073857,0.00097031,32,,,,
5.3,5.19398,0.61671,0.0007553,0.00099255,33,,,,
5.4,5.19382,0.56672,0.00077174,0.00101299,34,,,,
5.5,5.19374,0.57965,0.00078766,0.0010339,35,,,,
5.6,5.19378,0.58984,0.00080391,0.00105518,36,,,,
5.7,5.20535,0.48764,0.00081887,0.00107281,37,,,,
5.8,5.20661,0.49784,0.00083256,0.00109081,38,,,,
5.9,5.19656,0.4772,0.0008461,0.00110807,39,,Total,0.00093487,Wh
6,5.19773,0.50107,0.00085969,0.00112616,40,,In J,3.365532,J
6.1,5.19883,0.48565,0.00087339,0.00114369,41,,One cycle,0.003365532,J
6.2,5.19992,0.49883,0.00088707,0.00116171,42,,,,
6.3,5.20106,0.48217,0.00090069,0.00117913,43,,Wh to J,3600,s
6.4,5.20239,0.51636,0.00091456,0.00119779,44,,Cyber count,1000,
