# 10.0 sps, start/stop: 50/0 mA (5 s), channels: 4,,,,,,,
# V min: 5.19033, V max: 5.2225,,,,,,,,
# I min: 0.31457, I max: 0.63585,,,,,,,,
Time,Voltage,Current,Capacity,Energy,,,,,
0,5.22023,0.33421,0.00000464,0.00001212,,,,,
0.1,5.22125,0.31581,0.00001367,0.00002357,,,,,
0.2,5.22223,0.33054,0.00002265,0.00003556,,,,,
0.3,5.2223,0.32949,0.00003181,0.00004751,,,,,
0.4,5.22238,0.3294,0.00004097,0.00005945,,,,,
0.5,5.22234,0.3294,0.00005012,0.0000714,,,,,
0.6,5.22223,0.34142,0.00005943,0.00008378,,,,,
0.7,5.22219,0.32922,0.00006875,0.00009572,,,,,
0.8,5.22227,0.31457,0.00007769,0.00010713,,,,,
0.9,5.22234,0.32896,0.00008663,0.00011906,,,,,
1,5.22238,0.33968,0.00009591,0.00013138,,,,,
1.1,5.2225,0.31631,0.00010502,0.00014285,,,,,
1.2,5.22246,0.32899,0.00011399,0.00015475,,,,,
1.3,5.21162,0.51624,0.00012573,0.00017338,1,,,,
1.4,5.19909,0.52818,0.00014023,0.00019243,2,,,,
1.5,5.19408,0.59656,0.00015585,0.00021393,3,,,,
1.6,5.19659,0.62715,0.00017285,0.00023655,4,,,,
1.7,5.19033,0.60203,0.00018992,0.00025824,5,,,,
1.8,5.19033,0.63585,0.00020711,0.00028116,6,,,,
1.9,5.19408,0.59731,0.00022424,0.0003027,7,,,,
2,5.19158,0.62317,0.00024119,0.00032521,8,,,,
2.1,5.20145,0.59557,0.00025812,0.00034671,9,,,,
2.2,5.19844,0.62292,0.00027504,0.00036918,10,,,,
2.3,5.1955,0.59582,0.00029197,0.00039067,11,,,,
2.4,5.19296,0.60115,0.00030859,0.00041234,12,,,,
2.5,5.1919,0.62068,0.00032556,0.00043472,13,,,,
2.6,5.19163,0.5998,0.00034251,0.00045634,14,,,,
2.7,5.19151,0.62441,0.00035952,0.00047886,15,,,,
2.8,5.19151,0.5983,0.0003765,0.00050043,16,,,,
2.9,5.19175,0.62342,0.00039347,0.0005229,17,,,,
3,5.19167,0.62839,0.00041085,0.00054556,18,,,,
3.1,5.19151,0.59855,0.0004279,0.00056714,19,,,,
3.2,5.19151,0.60968,0.00044468,0.00058912,20,,,,
3.3,5.19155,0.60971,0.00046161,0.00061114,21,,,,
3.4,5.19159,0.50033,0.00047703,0.00062922,22,,,,
3.5,5.21036,0.49237,0.00049082,0.00064703,23,,,,
3.6,5.20661,0.48143,0.00050434,0.00066443,24,,Total,0.00057956,Wh
3.7,5.20786,0.49411,0.00051789,0.00068231,25,,In J,2.086416,J
3.8,5.19707,0.47819,0.0005314,0.00069957,26,,One cycle,0.002086416,J
3.9,5.19848,0.49709,0.00054494,0.00071752,27,,,,
4,5.19992,0.47795,0.00055848,0.00073479,28,,Wh to J,3600,s
4.1,5.20121,0.50157,0.00057209,0.00075294,29,,Cyber count,1000,
