# 10.0 sps, start/stop: 50/0 mA (5 s), channels: 4,,,,,,,
# V min: 5.18281, V max: 5.22297,,,,,,,,
# I min: 0.31407, I max: 0.77163,,,,,,,,
Time,Voltage,Current,Capacity,Energy,,,,,
0,5.22297,0.31879,0.00000443,0.00001156,,,,,
0.1,5.22285,0.33174,0.00001346,0.00002359,,,,,
0.2,5.22274,0.34192,0.00002282,0.000036,,,,,
0.3,5.22277,0.33177,0.00003218,0.00004803,,,,,
0.4,5.22277,0.31705,0.00004119,0.00005953,,,,,
0.5,5.22266,0.31581,0.00004998,0.00007098,,,,,
0.6,5.2225,0.3318,0.00005897,0.00008301,,,,,
0.7,5.2225,0.33177,0.00006819,0.00009505,,,,,
0.8,5.22246,0.31407,0.00007716,0.00010644,,,,,
0.9,5.22266,0.31855,0.00008594,0.00011799,,,,,
1,5.22281,0.32873,0.00009493,0.00012991,,,,,
1.1,5.22277,0.34118,0.00010424,0.00014229,,,,,
1.2,5.22274,0.3287,0.00011354,0.00015421,,,,,
1.3,5.22266,0.40359,0.00012371,0.00016876,1,,,,
1.4,5.18281,0.77163,0.00014004,0.00019658,2,,,,
1.5,5.19033,0.62168,0.00015939,0.00021899,3,,,,
1.6,5.19033,0.5998,0.00017635,0.00024061,4,,,,
1.7,5.19534,0.61621,0.00019324,0.00026283,5,,,,
1.8,5.18657,0.61944,0.0002104,0.00028517,6,,,,
1.9,5.19033,0.60203,0.00022737,0.00030687,7,,,,
2,5.19158,0.60701,0.00024416,0.00032878,8,,,,
2.1,5.19158,0.61347,0.00026111,0.00035093,9,,,,
2.2,5.19871,0.61571,0.00027818,0.00037313,10,,,,
2.3,5.19566,0.609,0.00029519,0.00039509,11,,,,
2.4,5.19268,0.62044,0.00031227,0.00041746,12,,,,
2.5,5.19092,0.61577,0.00032944,0.00043966,13,,,,
2.6,5.19116,0.61384,0.00034652,0.00046178,14,,,,
2.7,5.19081,0.62914,0.00036378,0.00048446,15,,,,
2.8,5.19085,0.60179,0.00038088,0.00050616,16,,,,
2.9,5.19088,0.6274,0.00039795,0.00052877,17,,,,
3,5.19096,0.60328,0.00041504,0.00055052,18,,,,
3.1,5.19088,0.61691,0.00043199,0.00057276,19,,,,
3.2,5.19088,0.61698,0.00044913,0.000595,20,,,,
3.3,5.19088,0.60129,0.00046605,0.00061674,21,,Total,0.00044798,Wh
3.4,5.2041,0.50157,0.00048136,0.00063487,22,,In J,1.612728,J
3.5,5.19229,0.47596,0.00049494,0.00065208,23,,One cycle,0.001612728,J
3.6,5.21036,0.5053,0.00050857,0.00067036,24,,,,
3.7,5.19546,0.48168,0.00052228,0.00068774,25,,Wh to J,3600,s
3.8,5.21036,0.4961,0.00053586,0.00070566,26,,Cyber count,1000,
