# 10.0 sps, start/stop: 50/0 mA (5 s), channels: 4,,,,,,,
# V min: 5.18782, V max: 5.22262,,,,,,,,
# I min: 0.31482, I max: 0.64605,,,,,,,,
Time,Voltage,Current,Capacity,Energy,,,,,
0,5.22105,0.32899,0.00000457,0.00001193,,,,,
0.1,5.22199,0.33286,0.00001376,0.000024,,,,,
0.2,5.22207,0.34292,0.00002315,0.00003644,,,,,
0.3,5.22215,0.33231,0.00003253,0.00004849,,,,,
0.4,5.22254,0.34167,0.00004189,0.00006088,,,,,
0.5,5.21162,0.40931,0.00005232,0.00007573,,,,,
0.6,5.22242,0.32897,0.00006257,0.00008766,,,,,
0.7,5.22246,0.32901,0.00007171,0.00009959,,,,,
0.8,5.2225,0.3291,0.00008085,0.00011152,,,,,
0.9,5.2225,0.31581,0.00008981,0.00012298,,,,,
1,5.22258,0.329,0.00009876,0.00013491,,,,,
1.1,5.22262,0.34068,0.00010806,0.00014727,,,,,
1.2,5.22254,0.32902,0.00011737,0.0001592,,,,,
1.3,5.22254,0.31482,0.00012631,0.00017062,,,,,
1.4,5.22254,0.32892,0.00013525,0.00018251,,,,,
1.5,5.21162,0.45382,0.00014612,0.00019886,1,,,,
1.6,5.18782,0.59756,0.00016072,0.00022039,2,,,,
1.7,5.19158,0.61795,0.0001776,0.00024267,3,,,,
1.8,5.19283,0.61671,0.00019475,0.00026489,4,,,,
1.9,5.19534,0.60104,0.00021167,0.00028655,5,,,,
2,5.19033,0.62491,0.00022869,0.00030907,6,,,,
2.1,5.18908,0.59806,0.00024568,0.00033062,7,,,,
2.2,5.18782,0.60278,0.00026236,0.00035238,8,,,,
2.3,5.19804,0.62193,0.00027937,0.00037482,9,,,,
2.4,5.19503,0.60079,0.00029635,0.00039648,10,,,,
2.5,5.19221,0.62044,0.00031331,0.00041885,11,,,,
2.6,5.19112,0.59756,0.00033023,0.00044039,12,,,,
2.7,5.19116,0.61476,0.00034706,0.00046255,13,,,,
2.8,5.19116,0.61489,0.00036414,0.00048472,14,,,,
2.9,5.19116,0.60079,0.00038103,0.00050638,15,,,,
3,5.19124,0.61466,0.00039791,0.00052854,16,,,,
3.1,5.19128,0.5983,0.00041476,0.00055011,17,,,,
3.2,5.19143,0.62566,0.00043175,0.00057266,18,,,,
3.3,5.19143,0.60154,0.0004488,0.00059435,19,,,,
3.4,5.19147,0.61153,0.00046565,0.00061645,20,,,,
3.5,5.19159,0.62417,0.00048281,0.000639,21,,,,
3.6,5.1921,0.52544,0.00049878,0.00065795,22,,,,
3.7,5.19292,0.53912,0.00051356,0.00067739,23,,,,
3.8,5.19378,0.53091,0.00052842,0.00069655,24,,,,
3.9,5.19456,0.53589,0.00054324,0.00071588,25,,,,
4,5.19534,0.53514,0.00055812,0.00073519,26,,,,
4.1,5.19628,0.52693,0.00057287,0.00075421,27,,,,
4.2,5.19714,0.54011,0.00058769,0.0007737,28,,,,
4.3,5.19804,0.60949,0.00060365,0.00079571,29,,,,
4.4,5.19816,0.6177,0.0006207,0.000818,30,,,,
4.5,5.19801,0.60701,0.00063771,0.00083991,31,,,,
4.6,5.19769,0.61596,0.00065469,0.00086214,32,,,,
4.7,5.19691,0.61621,0.00067181,0.00088433,33,,,,
4.8,5.19601,0.64605,0.00068934,0.00090764,34,,,,
4.9,5.19488,0.61521,0.00070686,0.00092983,35,,,,
5,5.19401,0.61621,0.00072396,0.00095205,36,,,,
5.1,5.19315,0.59776,0.00074082,0.00097361,37,,,,
5.2,5.19225,0.62118,0.00075775,0.000996,38,,,,
5.3,5.19139,0.5998,0.00077471,0.00101762,39,,,,
5.4,5.19088,0.60004,0.00079137,0.00103925,40,,,,
5.5,5.191,0.62591,0.0008084,0.00106182,41,,,,
5.6,5.19104,0.60054,0.00082543,0.00108346,42,,,,
5.7,5.19096,0.61546,0.00084232,0.00110565,43,,,,
5.8,5.19096,0.61546,0.00085942,0.00112784,44,,,,
5.9,5.19124,0.61296,0.00087648,0.00114994,45,,,,
6,5.19128,0.61232,0.0008935,0.00117201,46,,,,
6.1,5.1912,0.61232,0.00091051,0.00119408,47,,,,
6.2,5.1912,0.60179,0.00092737,0.00121578,48,,,,
