# 10.0 sps, start/stop: 50/0 mA (5 s), channels: 4,,,,,,,
# V min: 5.18908, V max: 5.22281,,,,,,,,
# I min: 0.31556, I max: 0.61621,,,,,,,,
Time,Voltage,Current,Capacity,Energy,,,,,
0,5.22043,0.31904,0.00000443,0.00001157,,,,,
0.1,5.22129,0.34081,0.0000136,0.00002393,,,,,
0.2,5.22215,0.31556,0.00002271,0.00003537,,,,,
0.3,5.22246,0.32054,0.00003155,0.000047,,,,,
0.4,5.22277,0.32904,0.00004057,0.00005893,,,,,
0.5,5.22274,0.34665,0.00004995,0.00007151,,,,,
0.6,5.2227,0.3294,0.00005934,0.00008345,,,,,
0.7,5.22274,0.31681,0.00006832,0.00009494,,,,,
0.8,5.22281,0.32943,0.00007729,0.00010689,,,,,
0.9,5.22277,0.31904,0.0000863,0.00011846,,,,,
1,5.22266,0.3173,0.00009514,0.00012993,,,,,
1.1,5.21036,0.45532,0.00010587,0.00014637,1,,,,
1.2,5.20035,0.54583,0.00011977,0.00016605,2,,,,
1.3,5.18908,0.58985,0.00013555,0.00018735,3,,,,
1.4,5.19534,0.61472,0.00015228,0.00020952,4,,,,
1.5,5.19283,0.59209,0.00016904,0.00023087,5,,,,
1.6,5.18908,0.60328,0.00018564,0.00025268,6,,,,
1.7,5.19158,0.60452,0.00020242,0.00027449,7,,,,
1.8,5.19534,0.59234,0.00021904,0.00029588,8,,,,
1.9,5.19033,0.60925,0.00023573,0.00031784,9,,,,
2,5.20039,0.6085,0.00025264,0.00033979,10,,,,
2.1,5.19707,0.58885,0.00026927,0.00036103,11,,,,
2.2,5.19409,0.60875,0.0002859,0.00038298,12,,,,
2.3,5.19276,0.58861,0.00030253,0.00040421,13,,,,
2.4,5.19221,0.60319,0.00031909,0.00042595,14,,,,
2.5,5.19218,0.58711,0.00033562,0.00044712,15,,,,
2.6,5.19214,0.61497,0.00035231,0.0004693,16,,,,
2.7,5.19214,0.60387,0.00036924,0.00049107,17,,,,
2.8,5.19214,0.58786,0.00038579,0.00051227,18,,,,
2.9,5.19218,0.60409,0.00040235,0.00053405,19,,,,
3,5.19218,0.58786,0.0004189,0.00055525,20,,,,
3.1,5.19245,0.61497,0.00043561,0.00057742,21,,,,
3.2,5.19253,0.58885,0.00045233,0.00059865,22,,,,
3.3,5.19249,0.58861,0.00046868,0.00061988,23,,,,
3.4,5.19245,0.61571,0.00048541,0.00064208,24,,,,
3.5,5.19245,0.5896,0.00050215,0.00066334,25,,,,
3.6,5.19241,0.61347,0.00051886,0.00068546,26,,,,
3.7,5.19245,0.60088,0.00053573,0.00070713,27,,,,
3.8,5.19245,0.60091,0.00055242,0.0007288,28,,,,
3.9,5.19241,0.61621,0.00056932,0.00075102,29,,,,
4,5.19237,0.59035,0.00058608,0.0007723,30,,,,
4.1,5.19241,0.60114,0.00060263,0.00079398,31,,,,
4.2,5.19237,0.60113,0.00061933,0.00081565,32,,,,
4.3,5.19241,0.60135,0.00063603,0.00083734,33,,,,
4.4,5.19245,0.60127,0.00065273,0.00085902,34,,,,
4.5,5.19241,0.52171,0.00066833,0.00087784,35,,,,
4.6,5.20535,0.53066,0.00068294,0.00089698,36,,,,
4.7,5.19413,0.55578,0.00069803,0.00091703,37,,,,
4.8,5.19488,0.53141,0.00071313,0.00093621,38,,,,
4.9,5.19558,0.51749,0.0007277,0.00095488,39,,,,
5,5.19652,0.52868,0.00074223,0.00097397,40,,Total,0.00091514,Wh
5.1,5.21287,0.48516,0.00075631,0.00099148,41,,In J,3.294504,J
5.2,5.19863,0.47521,0.00076965,0.00100865,42,,One cycle,0.003294504,J
5.3,5.19992,0.49784,0.00078317,0.00102663,43,,,,
5.4,5.20118,0.4772,0.00079671,0.00104387,44,,Wh to J,3600,s
5.5,5.20254,0.48814,0.00081012,0.00106151,45,,Cyber count,1000,
